"","Region","State","stcd","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","state_index","region_index"
"189","South","texas","TX-16",16,11.98973,"Dense Suburban",1,1,773386,0.505,53477,75234,33.6,0.132839229,0.177,0.035,10,1
"190","South","texas","TX-20",20,12.52761,"Urban-Suburban",1,1,781188,0.498,56708,72033,33.7,0.121987281,0.165,0.032,10,1
"191","South","texas","TX-38",38,12.42589,"Dense Suburban",NA,0,769222,0.515,93861,130289,38.2,0.146133366,0.309,0.03,10,1
"192","South","texas","TX-33",33,12.42466,"Dense Suburban",1,1,764729,0.496,57463,79425,32.2,0.102689973,0.14,0.03,10,1
"193","South","texas","TX-07",7,12.90726,"Urban-Suburban",1,1,785353,0.504,70704,112176,33.9,0.115273005,0.274,0.037,10,1
"194","South","texas","TX-01",1,9.61616,"Rural-Exurban",0,0,775992,0.509,60999,83392,39.1,0.182360127,0.147,0.022,10,1
"195","South","texas","TX-10",10,10.15221,"Rural-Exurban",0,0,803507,0.495,80035,117620,36.5,0.148516441,0.26,0.023,10,1
"196","South","texas","TX-34",34,11.11507,"Suburban-Exurban",1,1,790190,0.503,48801,65789,31,0.132330199,0.137,0.038,10,1
"197","South","texas","TX-27",27,10.02864,"Rural-Exurban",0,0,771898,0.496,61819,82853,38.2,0.171166398,0.136,0.029,10,1
"198","South","texas","TX-25",25,10.83693,"Suburban-Exurban",0,0,804617,0.51,73257,93297,37.3,0.16056832,0.207,0.026,10,1
"199","South","texas","TX-29",29,12.45498,"Dense Suburban",1,1,732116,0.488,50461,69251,33.1,0.110501614,0.095,0.047,10,1
"200","South","texas","TX-05",5,10.95429,"Suburban-Exurban",0,0,787249,0.501,74111,93375,37.1,0.148862685,0.168,0.029,10,1
"201","South","texas","TX-17",17,10.03186,"Rural-Exurban",0,0,781996,0.493,63266,81530,35.9,0.152381854,0.167,0.03,10,1
"202","South","texas","TX-13",13,9.96255,"Rural-Exurban",0,0,776421,0.489,64369,85974,36.2,0.151028888,0.167,0.021,10,1
"203","South","oklahoma","OK-01",1,11.53769,"Dense Suburban",0,0,807958,0.508,64465,89759,36.7,0.157598539,0.216,0.024,32,1
"204","South","georgia","GA-09",9,10.38211,"Rural-Exurban",0,0,794277,0.505,76038,99178,40.4,0.176439706,0.201,0.022,19,1
"205","South","georgia","GA-06",6,11.6706,"Dense Suburban",1,0,790519,0.504,123105,159602,40.2,0.150852794,0.359,0.019,19,1
"206","South","georgia","GA-11",11,11.4803,"Suburban-Exurban",0,0,786646,0.514,90472,115456,37.6,0.145182204,0.282,0.022,19,1
"207","South","georgia","GA-14",14,10.32933,"Rural-Exurban",0,0,779321,0.501,69169,90546,39.1,0.157582049,0.142,0.019,19,1
"208","South","virginia","VA-01",1,10.69374,"Suburban-Exurban",0,0,810541,0.511,99057,125150,41.8,0.199153405,0.28,0.017,7,1
"209","South","north carolina","NC-14",14,11.90635,"Dense Suburban",NA,1,766123,0.516,81717,127063,36.8,0.134105098,0.33,0.022,27,1
"210","South","north carolina","NC-05",5,10.03604,"Rural-Exurban",0,0,754512,0.514,54503,81612,41.6,0.201550141,0.186,0.028,27,1
"211","South","north carolina","NC-03",3,9.34073,"Mostly Rural",0,0,756848,0.492,61546,80318,37.8,0.185326512,0.176,0.022,27,1
"212","South","north carolina","NC-07",7,10.01653,"Rural-Exurban",0,0,774574,0.514,62763,85247,41.8,0.210931428,0.203,0.024,27,1
"213","South","north carolina","NC-08",8,10.18313,"Rural-Exurban",0,0,760699,0.507,69466,97207,40.5,0.170373564,0.177,0.023,27,1
"214","South","kentucky","KY-01",1,8.87433,"Mostly Rural",0,0,757381,0.506,54615,74436,40,0.189415895,0.123,0.025,24,1
"215","South","kentucky","KY-02",2,9.56108,"Rural-Exurban",0,0,756377,0.503,61768,86840,39.6,0.171492523,0.144,0.022,24,1
"216","South","kentucky","KY-05",5,8.76626,"Mostly Rural",0,0,739149,0.499,42736,65175,41.9,0.188090629,0.089,0.02,24,1
"217","South","kentucky","KY-06",6,10.63682,"Suburban-Exurban",0,0,754485,0.508,62298,88251,37.4,0.162945585,0.215,0.032,24,1
"218","South","kentucky","KY-04",4,10.35224,"Rural-Exurban",0,0,762092,0.502,75907,101293,39.5,0.166302756,0.203,0.022,24,1
"219","South","kentucky","KY-03",3,12.09429,"Dense Suburban",1,1,742826,0.513,63327,94222,38.3,0.173977486,0.214,0.033,24,1
"220","South","louisiana","LA-02",2,11.77477,"Dense Suburban",1,1,727277,0.519,48015,76074,39,0.166924019,0.16,0.041,30,1
"221","South","louisiana","LA-03",3,10.18615,"Rural-Exurban",0,0,760945,0.509,53406,83247,38,0.162249571,0.166,0.029,30,1
"222","South","louisiana","LA-04",4,9.45829,"Mostly Rural",0,0,761461,0.511,48618,70897,38.5,0.176946685,0.132,0.033,30,1
"223","South","louisiana","LA-06",6,10.79623,"Suburban-Exurban",0,0,796937,0.513,70632,96885,35.9,0.15388042,0.202,0.03,30,1
"224","South","louisiana","LA-05",5,9.05237,"Mostly Rural",0,0,767855,0.502,46162,70807,37.7,0.174527743,0.136,0.033,30,1
"225","South","louisiana","LA-01",1,10.95037,"Suburban-Exurban",0,0,775766,0.509,69732,99302,39.8,0.18538451,0.217,0.026,30,1
"226","South","florida","FL-23",23,12.53913,"Urban-Suburban",1,1,768707,0.513,80179,121695,43.1,0.2136874,0.274,0.024,8,1
"227","South","florida","FL-07",7,11.56998,"Dense Suburban",1,0,788222,0.509,75437,103461,42.3,0.20143183,0.223,0.022,8,1
"228","South","maryland","MD-02",2,11.81179,"Dense Suburban",1,1,772153,0.524,92468,124196,40.5,0.183183903,0.262,0.025,9,1
"229","South","maryland","MD-03",3,11.8092,"Dense Suburban",1,1,777611,0.508,119418,154016,40.2,0.1614239,0.29,0.019,9,1
"230","South","maryland","MD-06",6,11.05104,"Suburban-Exurban",1,1,792577,0.502,96041,126053,39.7,0.162129358,0.228,0.028,9,1
"231","South","maryland","MD-05",5,10.89787,"Suburban-Exurban",1,1,789972,0.5,121284,135099,38.8,0.151525624,0.233,0.028,9,1
"232","South","maryland","MD-07",7,12.91544,"Urban-Suburban",1,1,744504,0.532,56870,85174,36.8,0.163050837,0.172,0.033,9,1
"233","South","maryland","MD-01",1,10.11806,"Rural-Exurban",0,0,781695,0.503,87671,113507,42.2,0.198133543,0.202,0.02,9,1
"234","South","maryland","MD-04",4,12.67143,"Urban-Suburban",1,1,750800,0.524,86941,103631,37.9,0.145672616,0.191,0.035,9,1
"235","South","maryland","MD-08",8,12.69373,"Urban-Suburban",1,1,755348,0.51,123494,171443,41.6,0.187945159,0.278,0.022,9,1
"236","South","florida","FL-12",12,10.87248,"Suburban-Exurban",0,0,806076,0.506,59804,90255,47,0.261756956,0.162,0.024,8,1
"237","South","florida","FL-05",5,11.5198,"Dense Suburban",1,0,801685,0.509,84630,115644,39.3,0.174161921,0.303,0.019,8,1
"238","South","florida","FL-27",27,12.86377,"Urban-Suburban",0,0,754619,0.509,75323,129442,42.2,0.191162693,0.251,0.018,8,1
"239","South","oklahoma","OK-03",3,9.51656,"Rural-Exurban",0,0,796469,0.491,54397,73175,35.5,0.153314191,0.15,0.025,32,1
"240","South","oklahoma","OK-02",2,8.6155,"Mostly Rural",0,0,802111,0.501,50776,72998,39.7,0.191936029,0.135,0.022,32,1
"241","South","oklahoma","OK-05",5,11.04301,"Suburban-Exurban",0,0,807931,0.509,68269,98507,37.6,0.162199495,0.25,0.024,32,1
"242","South","oklahoma","OK-04",4,10.17789,"Rural-Exurban",0,0,805331,0.498,62067,78845,36.3,0.158385807,0.177,0.029,32,1
"243","South","georgia","GA-04",4,12.11052,"Dense Suburban",1,1,781395,0.525,73742,107398,36.6,0.137351788,0.229,0.034,19,1
"244","South","tennessee","TN-03",3,10.26313,"Rural-Exurban",0,0,788228,0.509,68127,93286,40.8,0.190076983,0.181,0.018,29,1
"245","South","tennessee","TN-07",7,10.24005,"Rural-Exurban",0,0,801730,0.508,70095,92273,35.5,0.138433138,0.215,0.024,29,1
"246","South","tennessee","TN-09",9,11.79929,"Dense Suburban",1,1,756975,0.525,53183,75182,34.8,0.142098484,0.179,0.037,29,1
"247","South","texas","TX-19",19,9.97486,"Rural-Exurban",0,0,767757,0.489,58951,84101,33.7,0.140566612,0.167,0.026,10,1
"248","South","georgia","GA-02",2,9.92455,"Rural-Exurban",1,1,755007,0.514,48779,68437,37.7,0.166100447,0.122,0.036,19,1
"249","South","georgia","GA-07",7,12.16479,"Dense Suburban",1,1,776248,0.512,84547,111242,36.2,0.116447321,0.255,0.027,19,1
"250","South","georgia","GA-12",12,9.65989,"Rural-Exurban",0,0,770831,0.506,56189,80133,37.1,0.160525459,0.145,0.029,19,1
"251","South","georgia","GA-08",8,9.29515,"Mostly Rural",0,0,769408,0.509,55822,81177,37.2,0.16323849,0.125,0.022,19,1
"252","South","georgia","GA-10",10,10.11493,"Rural-Exurban",0,0,806637,0.511,73988,95128,37.7,0.151582434,0.183,0.026,19,1
"253","South","georgia","GA-05",5,12.50446,"Urban-Suburban",1,1,759771,0.514,80430,128358,34.8,0.131388274,0.31,0.032,19,1
"254","South","delaware","DE-01",1,11.04734,"Suburban-Exurban",1,1,1018396,0.514,82174,104569,41.5,0.208347244,0.21,0.027,36,1
"255","South","florida","FL-17",17,11.13713,"Suburban-Exurban",0,0,839779,0.515,70558,94705,55.1,0.345458746,0.199,0.02,8,1
"256","South","florida","FL-02",2,9.76267,"Rural-Exurban",0,0,792422,0.499,57516,83388,38.8,0.176904478,0.172,0.025,8,1
"257","South","florida","FL-10",10,12.39927,"Dense Suburban",1,1,766928,0.51,64575,96054,34.9,0.127559562,0.256,0.029,8,1
"258","South","florida","FL-09",9,11.49649,"Suburban-Exurban",1,1,821662,0.5,69493,95156,38.5,0.14254158,0.239,0.023,8,1
"259","South","florida","FL-24",24,12.99463,"Urban-Suburban",1,1,791673,0.505,60388,95698,39.7,0.165784358,0.202,0.029,8,1
"260","South","florida","FL-03",3,9.85896,"Rural-Exurban",0,0,794723,0.501,56286,80520,40.5,0.217855781,0.162,0.024,8,1
"261","South","florida","FL-26",26,12.35861,"Dense Suburban",0,0,796673,0.509,67071,92098,42.6,0.189362511,0.192,0.021,8,1
"262","South","florida","FL-08",8,11.05486,"Suburban-Exurban",0,0,801682,0.507,73344,99322,48.9,0.268806085,0.213,0.023,8,1
"263","South","florida","FL-16",16,11.5819,"Dense Suburban",0,0,824961,0.519,79125,103570,43.4,0.229684797,0.225,0.021,8,1
"264","South","florida","FL-25",25,12.59246,"Urban-Suburban",0,1,767802,0.504,79024,110218,41.9,0.170180593,0.265,0.028,8,1
"265","South","florida","FL-18",18,10.27548,"Rural-Exurban",0,0,833693,0.498,57810,78504,40.2,0.211612668,0.128,0.023,8,1
"266","South","texas","TX-22",22,11.31486,"Suburban-Exurban",0,0,843195,0.498,100510,128070,37.3,0.125390924,0.296,0.026,10,1
"267","South","texas","TX-32",32,12.76321,"Urban-Suburban",1,1,787408,0.499,65935,98364,32.5,0.101253734,0.262,0.031,10,1
"268","South","florida","FL-04",4,11.16743,"Suburban-Exurban",0,0,801792,0.515,70226,87260,38.2,0.163786867,0.175,0.028,8,1
"269","South","florida","FL-14",14,12.15817,"Dense Suburban",1,1,782155,0.505,70955,113446,39,0.165459532,0.26,0.028,8,1
"270","South","florida","FL-06",6,10.34874,"Rural-Exurban",0,0,812621,0.512,60287,83926,49.2,0.279114126,0.165,0.021,8,1
"271","South","florida","FL-13",13,12.18172,"Dense Suburban",1,0,763693,0.517,65785,102181,51.5,0.281768983,0.221,0.022,8,1
"272","South","florida","FL-28",28,11.99153,"Dense Suburban",NA,0,740547,0.503,73429,95459,41.4,0.174433223,0.198,0.017,8,1
"273","South","florida","FL-21",21,11.32203,"Suburban-Exurban",1,0,807943,0.503,76355,112956,48,0.269849482,0.229,0.024,8,1
"274","South","florida","FL-15",15,11.70438,"Dense Suburban",0,0,817831,0.503,67704,96929,38.9,0.166025744,0.213,0.028,8,1
"275","South","florida","FL-19",19,11.42951,"Suburban-Exurban",0,0,802244,0.51,76223,109733,54.6,0.348039998,0.23,0.018,8,1
"276","South","south carolina","SC-03",3,9.72732,"Rural-Exurban",0,0,752641,0.506,56693,80331,41.3,0.196218383,0.157,0.023,35,1
"277","South","virginia","VA-09",9,9.07969,"Mostly Rural",0,0,785166,0.498,54260,80818,44,0.224976629,0.142,0.015,7,1
"278","South","tennessee","TN-06",6,10.09657,"Rural-Exurban",0,0,783125,0.499,64687,89526,39.6,0.177156903,0.194,0.021,29,1
"279","South","florida","FL-22",22,12.34584,"Dense Suburban",1,1,783947,0.513,73404,114136,46.7,0.26959348,0.235,0.025,8,1
"280","South","florida","FL-20",20,12.52127,"Urban-Suburban",1,1,768934,0.513,57237,78305,39.8,0.179841183,0.167,0.039,8,1
"281","South","florida","FL-01",1,10.48931,"Rural-Exurban",0,0,789347,0.495,71302,91357,39,0.174587349,0.2,0.023,8,1
"282","South","florida","FL-11",11,10.99759,"Suburban-Exurban",0,0,822462,0.511,78966,110304,44.9,0.25725687,0.233,0.019,8,1
"283","South","tennessee","TN-04",4,9.67047,"Rural-Exurban",0,0,796991,0.502,65227,82606,37.9,0.156931509,0.173,0.016,29,1
"284","South","texas","TX-06",6,10.59703,"Suburban-Exurban",0,0,801951,0.487,75003,94733,36,0.126975339,0.182,0.025,10,1
"285","South","texas","TX-02",2,11.66319,"Dense Suburban",0,0,817455,0.503,92141,123059,36.2,0.125089454,0.268,0.034,10,1
"286","South","texas","TX-04",4,10.84754,"Suburban-Exurban",0,0,817813,0.5,92686,126702,38.8,0.145622532,0.278,0.021,10,1
"287","South","texas","TX-28",28,11.00937,"Suburban-Exurban",1,1,777758,0.503,60356,79462,33.7,0.124984892,0.151,0.032,10,1
"288","South","texas","TX-26",26,11.37112,"Suburban-Exurban",0,0,835578,0.501,105363,134953,37.9,0.120614712,0.308,0.025,10,1
"289","South","texas","TX-21",21,10.72731,"Suburban-Exurban",0,0,807859,0.502,88786,118488,40.2,0.188608408,0.297,0.021,10,1
"290","South","new mexico","NM-01",1,11.43298,"Suburban-Exurban",1,1,713527,0.504,66579,91517,40.6,0.198799765,0.214,0.023,34,1
"291","South","virginia","VA-10",10,11.35405,"Suburban-Exurban",1,1,805988,0.494,152685,176922,38,0.11976481,0.319,0.019,7,1
"292","South","virginia","VA-06",6,10.05085,"Rural-Exurban",0,0,784909,0.514,67623,88953,40.8,0.203113992,0.174,0.022,7,1
"293","South","virginia","VA-11",11,12.42183,"Dense Suburban",1,1,784031,0.496,152783,180734,39.2,0.148708406,0.34,0.021,7,1
"294","South","georgia","GA-01",1,9.88095,"Rural-Exurban",0,0,790309,0.513,63376,82187,37.1,0.162632591,0.168,0.027,19,1
"295","South","georgia","GA-03",3,10.05251,"Rural-Exurban",0,0,785113,0.511,74348,99129,39.1,0.173208188,0.173,0.023,19,1
"296","South","texas","TX-31",31,10.70318,"Suburban-Exurban",0,0,841841,0.502,89116,118353,37.2,0.14370172,0.253,0.025,10,1
"297","South","west virginia","WV-01",1,9.06467,"Mostly Rural",0,0,876813,0.509,49609,78668,43.8,0.222925527,0.137,0.024,44,1
"298","South","west virginia","WV-02",2,9.60292,"Rural-Exurban",0,0,898343,0.498,59773,81933,42,0.201145887,0.162,0.026,44,1
"299","South","south carolina","SC-06",6,10.26945,"Rural-Exurban",1,1,741110,0.521,51364,75482,37.1,0.172225446,0.178,0.035,35,1
"300","South","south carolina","SC-04",4,11.18361,"Suburban-Exurban",0,0,754482,0.513,64879,94088,38.4,0.168648159,0.227,0.028,35,1
"301","South","new mexico","NM-02",2,9.98027,"Rural-Exurban",0,1,696764,0.503,53550,71424,36.9,0.173502075,0.134,0.03,34,1
"302","South","new mexico","NM-03",3,9.01836,"Mostly Rural",1,1,703053,0.506,58790,81134,40.4,0.202040244,0.156,0.03,34,1
"303","South","north carolina","NC-09",9,10.20829,"Rural-Exurban",0,0,769258,0.509,62661,79319,36.5,0.172139906,0.184,0.026,27,1
"304","South","texas","TX-18",18,12.6062,"Urban-Suburban",1,1,789388,0.487,58932,93568,32.6,0.10221336,0.176,0.045,10,1
"305","South","texas","TX-09",9,12.64574,"Urban-Suburban",1,1,774848,0.52,63597,87973,34.6,0.126304772,0.174,0.036,10,1
"306","South","tennessee","TN-01",1,9.8716,"Rural-Exurban",0,0,781128,0.505,54716,76834,43.9,0.210449504,0.15,0.021,29,1
"307","South","mississippi","MS-01",1,9.21649,"Mostly Rural",0,0,748916,0.513,56871,80948,38.1,0.16711487,0.146,0.022,43,1
"308","South","texas","TX-12",12,11.67191,"Dense Suburban",0,0,803772,0.502,78999,106993,36.5,0.142223168,0.229,0.025,10,1
"309","South","texas","TX-24",24,12.45018,"Dense Suburban",0,0,760070,0.508,106888,164456,38.8,0.144336706,0.328,0.021,10,1
"310","South","north carolina","NC-04",4,10.8961,"Suburban-Exurban",1,1,761039,0.521,74019,101762,37.4,0.163069173,0.256,0.019,27,1
"311","South","north carolina","NC-01",1,9.45644,"Mostly Rural",1,1,753536,0.514,53854,75802,40.7,0.197284536,0.161,0.031,27,1
"312","South","north carolina","NC-10",10,10.17915,"Rural-Exurban",0,0,768814,0.5,64668,88672,42.9,0.192945238,0.183,0.023,27,1
"313","South","north carolina","NC-13",13,10.83426,"Suburban-Exurban",0,1,776185,0.506,82201,107430,38.9,0.147535703,0.241,0.021,27,1
"314","South","south carolina","SC-01",1,10.65648,"Suburban-Exurban",0,0,762713,0.507,85282,114474,41.3,0.205288228,0.259,0.016,35,1
"315","South","south carolina","SC-02",2,10.65473,"Suburban-Exurban",0,0,750640,0.514,71562,92365,40,0.176877065,0.214,0.029,35,1
"316","South","tennessee","TN-05",5,10.9531,"Suburban-Exurban",1,0,784695,0.51,86017,122728,39,0.156081025,0.299,0.016,29,1
"317","South","texas","TX-11",11,10.5536,"Suburban-Exurban",0,0,777332,0.493,62147,86551,33.9,0.135546973,0.167,0.029,10,1
"318","South","texas","TX-36",36,10.65274,"Suburban-Exurban",0,0,770407,0.501,67663,91223,36.7,0.145094736,0.164,0.026,10,1
"319","South","texas","TX-30",30,12.2694,"Dense Suburban",1,1,767034,0.517,67465,96136,33.6,0.114671579,0.179,0.028,10,1
"320","South","mississippi","MS-02",2,8.97501,"Mostly Rural",1,1,704754,0.511,40532,63317,39.4,0.183178811,0.13,0.034,43,1
"321","South","tennessee","TN-08",8,9.55329,"Rural-Exurban",0,0,768105,0.515,63678,94568,41.3,0.195376934,0.168,0.025,29,1
"322","South","tennessee","TN-02",2,10.81321,"Suburban-Exurban",0,0,790362,0.508,66809,92884,40.3,0.188326362,0.211,0.015,29,1
"323","South","mississippi","MS-03",3,9.18269,"Mostly Rural",0,0,735973,0.522,56209,81816,39.3,0.175824385,0.173,0.024,43,1
"324","South","north carolina","NC-11",11,9.70481,"Rural-Exurban",0,0,756051,0.521,62261,85301,45.7,0.248876068,0.224,0.017,27,1
"325","South","south carolina","SC-07",7,9.82861,"Rural-Exurban",0,0,762499,0.521,53313,77890,45,0.236909163,0.161,0.027,35,1
"326","South","virginia","VA-08",8,13.06868,"Dense Urban",1,1,764684,0.505,122460,168675,37.6,0.137336468,0.316,0.019,7,1
"327","South","north carolina","NC-12",12,11.79664,"Dense Suburban",1,1,770376,0.513,73841,107655,35.8,0.123180109,0.282,0.024,27,1
"328","South","texas","TX-23",23,9.96234,"Rural-Exurban",0,0,778355,0.491,71327,95460,34.6,0.136439028,0.195,0.023,10,1
"329","South","texas","TX-14",14,10.69072,"Suburban-Exurban",0,0,773046,0.491,68463,97049,38.2,0.155941561,0.18,0.032,10,1
"330","South","north carolina","NC-06",6,11.04841,"Suburban-Exurban",0,1,751852,0.522,61429,87520,39,0.170794252,0.215,0.027,27,1
"331","South","texas","TX-08",8,11.14212,"Suburban-Exurban",0,0,827950,0.5,83466,115576,36.1,0.124935081,0.225,0.023,10,1
"332","South","virginia","VA-04",4,11.34923,"Suburban-Exurban",1,1,790811,0.516,66086,88658,37.2,0.159907993,0.206,0.034,7,1
"333","South","texas","TX-37",37,12.43119,"Dense Suburban",NA,1,785616,0.493,91114,130368,35.1,0.116895532,0.379,0.021,10,1
"334","South","virginia","VA-03",3,12.041,"Dense Suburban",1,1,781088,0.51,63075,80940,34.5,0.142555,0.17,0.039,7,1
"335","South","north carolina","NC-02",2,11.81898,"Dense Suburban",0,1,779106,0.508,96138,133177,36.8,0.127126476,0.368,0.016,27,1
"336","South","texas","TX-15",15,10.90763,"Suburban-Exurban",1,0,776813,0.501,55382,78067,32.5,0.128365514,0.161,0.032,10,1
"337","South","virginia","VA-02",2,11.28275,"Suburban-Exurban",1,0,780161,0.504,83535,104065,39.3,0.169855966,0.225,0.021,7,1
"338","South","virginia","VA-07",7,10.87841,"Suburban-Exurban",1,1,798820,0.5,103589,118497,37.8,0.136954508,0.221,0.025,7,1
"339","South","south carolina","SC-05",5,10.07118,"Rural-Exurban",0,0,758549,0.513,66451,89708,40.5,0.179376678,0.187,0.024,35,1
"340","South","mississippi","MS-04",4,9.69525,"Rural-Exurban",0,0,750414,0.513,57460,77273,38.9,0.172612718,0.155,0.031,43,1
"341","South","texas","TX-03",3,11.57905,"Dense Suburban",0,0,846385,0.507,114577,143551,37.8,0.124013304,0.316,0.024,10,1
"342","South","texas","TX-35",35,11.94555,"Dense Suburban",1,1,802077,0.496,71075,88525,33.2,0.092351482,0.231,0.031,10,1
"343","South","virginia","VA-05",5,9.33159,"Mostly Rural",0,0,797420,0.507,63384,95989,41.4,0.209034135,0.201,0.021,7,1
"344","West","oregon","OR-04",4,10.15422,"Rural-Exurban",1,1,715450,0.502,61845,81852,42.5,0.233152561,0.193,0.03,22,2
"345","West","california","CA-32",32,12.8771,"Urban-Suburban",1,1,783556,0.504,103213,164440,40.6,0.179102706,0.311,0.039,3,2
"346","West","california","CA-49",49,11.85506,"Dense Suburban",1,1,752364,0.488,109380,150874,40,0.179736138,0.306,0.026,3,2
"347","West","california","CA-09",9,11.65593,"Dense Suburban",1,1,769426,0.498,86062,112256,35.4,0.137290656,0.156,0.041,3,2
"348","West","california","CA-03",3,10.69738,"Suburban-Exurban",1,0,773866,0.502,98689,138499,43.7,0.223374589,0.263,0.023,3,2
"349","West","california","CA-48",48,11.38078,"Suburban-Exurban",0,0,766556,0.5,105095,123665,38.7,0.173545051,0.22,0.025,3,2
"350","West","california","CA-27",27,11.69082,"Dense Suburban",1,0,737592,0.504,98123,126171,37.9,0.139512088,0.195,0.038,3,2
"351","West","california","CA-33",33,12.51408,"Urban-Suburban",1,1,774631,0.505,81830,102043,33.7,0.109676736,0.14,0.036,3,2
"352","West","california","CA-07",7,12.37742,"Dense Suburban",1,1,763060,0.504,85158,111062,37.3,0.157310041,0.22,0.034,3,2
"353","West","california","CA-31",31,12.91872,"Urban-Suburban",1,1,730452,0.5,82631,104798,39.1,0.160287055,0.164,0.03,3,2
"354","West","colorado","CO-07",7,11.49257,"Suburban-Exurban",1,1,724362,0.488,97203,125098,41.7,0.189617898,0.311,0.019,11,2
"355","West","california","CA-50",50,12.38566,"Dense Suburban",0,1,748969,0.486,108881,147311,37,0.152242616,0.326,0.028,3,2
"356","West","california","CA-13",13,10.56639,"Suburban-Exurban",1,0,782352,0.491,67465,90186,32.2,0.114407581,0.107,0.057,3,2
"357","West","colorado","CO-05",5,11.6376,"Dense Suburban",0,0,732858,0.488,82432,101822,35.1,0.139591845,0.258,0.026,11,2
"358","West","california","CA-18",18,11.6734,"Dense Suburban",1,1,734686,0.482,96509,125896,34.5,0.122027642,0.169,0.029,3,2
"359","West","california","CA-08",8,11.90436,"Dense Suburban",0,1,748189,0.511,91501,120329,38.7,0.166381756,0.2,0.039,3,2
"360","West","california","CA-17",17,12.89651,"Urban-Suburban",1,1,740766,0.474,166489,225445,37.4,0.134193524,0.299,0.027,3,2
"361","West","california","CA-21",21,11.73072,"Dense Suburban",0,1,748904,0.494,61213,82126,32,0.112003675,0.121,0.051,3,2
"362","West","california","CA-51",51,12.76409,"Urban-Suburban",1,1,757528,0.5,100357,126874,37.3,0.147778036,0.273,0.031,3,2
"363","West","colorado","CO-02",2,10.84144,"Suburban-Exurban",1,1,726112,0.497,94059,125122,37.7,0.167906604,0.347,0.023,11,2
"364","West","california","CA-34",34,13.78271,"Dense Urban",1,1,745561,0.488,58845,90698,36.6,0.141218492,0.198,0.043,3,2
"365","West","colorado","CO-06",6,12.55418,"Urban-Suburban",1,1,718693,0.498,91725,123611,37.8,0.148881372,0.286,0.028,11,2
"366","West","california","CA-43",43,13.62739,"Dense Urban",1,1,723043,0.513,66509,90543,35.5,0.126258051,0.154,0.044,3,2
"367","West","california","CA-28",28,12.95812,"Urban-Suburban",1,1,719742,0.513,98310,147928,43,0.194655863,0.279,0.027,3,2
"368","West","oregon","OR-03",3,12.27807,"Dense Suburban",1,1,687278,0.496,80939,110130,39.3,0.152385207,0.253,0.032,22,2
"369","West","california","CA-44",44,13.30183,"Dense Urban",1,1,735344,0.505,78725,104095,36.8,0.14033024,0.17,0.039,3,2
"370","West","california","CA-10",10,11.99965,"Dense Suburban",1,1,754064,0.504,143122,197073,41.4,0.171409854,0.319,0.026,3,2
"371","West","california","CA-14",14,12.35435,"Dense Suburban",1,1,733220,0.507,135760,176217,40.6,0.160562996,0.29,0.029,3,2
"372","West","california","CA-15",15,12.74003,"Urban-Suburban",1,1,719254,0.5,135162,194363,41.3,0.182016367,0.277,0.024,3,2
"373","West","california","CA-46",46,13.41158,"Dense Urban",1,1,749454,0.504,80779,102727,34.8,0.120453023,0.157,0.028,3,2
"374","West","california","CA-12",12,12.99689,"Urban-Suburban",1,1,736597,0.503,100136,158118,38.3,0.161431556,0.29,0.026,3,2
"375","West","california","CA-25",25,10.85976,"Suburban-Exurban",0,1,773601,0.496,65453,86556,37.3,0.171044246,0.112,0.038,3,2
"376","West","california","CA-39",39,12.26121,"Dense Suburban",0,1,770106,0.501,84017,101185,32.9,0.109708274,0.119,0.037,3,2
"377","West","colorado","CO-04",4,10.18295,"Rural-Exurban",0,0,748891,0.485,108087,140908,39.1,0.154187993,0.32,0.018,11,2
"378","West","california","CA-37",37,13.94794,"Dense Urban",1,1,740416,0.498,64565,105185,34.5,0.121773435,0.18,0.046,3,2
"379","West","utah","UT-01",1,11.14186,"Suburban-Exurban",0,0,850432,0.495,86951,111939,32,0.11368575,0.252,0.017,31,2
"380","West","utah","UT-02",2,10.68866,"Suburban-Exurban",0,0,849661,0.489,80789,106281,33.7,0.139354401,0.213,0.019,31,2
"381","West","idaho","ID-01",1,10.01293,"Rural-Exurban",0,0,984950,0.494,72898,93106,39.6,0.185164729,0.205,0.017,41,2
"382","West","california","CA-11",11,13.56329,"Dense Urban",1,1,705678,0.484,139300,219266,39.7,0.179640006,0.369,0.024,3,2
"383","West","oregon","OR-06",6,11.27783,"Suburban-Exurban",NA,1,702788,0.502,78442,103286,38.8,0.176959481,0.222,0.024,22,2
"384","West","california","CA-36",36,13.0746,"Dense Urban",1,1,727412,0.514,121164,178732,40.7,0.18294859,0.376,0.036,3,2
"385","West","washington","WA-09",9,12.43778,"Dense Suburban",1,1,751668,0.498,94488,135669,38.2,0.153791301,0.257,0.03,13,2
"386","West","washington","WA-01",1,12.20153,"Dense Suburban",1,1,782320,0.491,125412,176190,38,0.129732079,0.306,0.022,13,2
"387","West","washington","WA-06",6,10.57689,"Suburban-Exurban",1,1,773605,0.495,84233,110751,42.5,0.222145669,0.213,0.026,13,2
"388","West","washington","WA-04",4,10.07076,"Rural-Exurban",0,0,783190,0.492,73355,93585,35,0.153684291,0.15,0.031,13,2
